Id,SalePrice
1461,128592.19
1462,166047.97
1463,189435.53
1464,196718.12
1465,186844.78
1466,171246.06
1467,164306.12
1468,165939.34
1469,189240.8
1470,127467.734
1471,188354.88
1472,98224.87
1473,94469.64
1474,146884.52
1475,123984.125
1476,365628.03
1477,243104.2
1478,269533.3
1479,269963.97
1480,497928.62
1481,357253.22
1482,211377.7
1483,176647.5
1484,162397.45
1485,183178.31
1486,200784.11
1487,356030.12
1488,234152.6
1489,198566.94
1490,231362.84
1491,193825.75
1492,102742.766
1493,195102.38
1494,291480.38
1495,278315.0
1496,241301.77
1497,177632.02
1498,167253.28
1499,160826.38
1500,159744.69
1501,182808.1
1502,152606.88
1503,307254.16
1504,235635.25
1505,226935.84
1506,188740.28
1507,252564.1
1508,210884.06
1509,166109.69
1510,153022.7
1511,146142.5
1512,167189.47
1513,147547.61
1514,169599.22
1515,198825.75
1516,172396.28
1517,163070.12
1518,127147.125
1519,209248.84
1520,136574.12
1521,139889.92
1522,169675.94
1523,110777.14
1524,123629.086
1525,121986.44
1526,118261.02
1527,116118.516
1528,145890.72
1529,142887.62
1530,170551.0
1531,99946.086
1532,103857.65
1533,147413.02
1534,128535.39
1535,160586.75
1536,112199.48
1537,65891.39
1538,161350.67
1539,198577.17
1540,113457.695
1541,140925.62
1542,148149.14
1543,197780.27
1544,76156.91
1545,118897.97
1546,133140.28
1547,139962.31
1548,136366.44
1549,118327.8
1550,142021.66
1551,119665.12
1552,144973.4
1553,153094.81
1554,109116.125
1555,182496.02
1556,93884.945
1557,110449.92
1558,99809.78
1559,101607.09
1560,144971.31
1561,133578.64
1562,130233.89
1563,122239.75
1564,161917.84
1565,149945.05
1566,235360.47
1567,83008.63
1568,247120.72
1569,139798.92
1570,142582.8
1571,123673.875
1572,152413.53
1573,247501.4
1574,130302.2
1575,218477.25
1576,231583.55
1577,175495.78
1578,156555.72
1579,150842.6
1580,195322.34
1581,164281.06
1582,128247.03
1583,335575.38
1584,222512.38
1585,140782.7
1586,74919.61
1587,103927.01
1588,157659.12
1589,107051.87
1590,134517.23
1591,97425.875
1592,131834.45
1593,126778.41
1594,149956.28
1595,121502.42
1596,222469.45
1597,201178.14
1598,216794.77
1599,168503.05
1600,171953.0
1601,69335.66
1602,126243.35
1603,81921.7
1604,269295.06
1605,238796.11
1606,165029.77
1607,172768.19
1608,205402.78
1609,180999.44
1610,153392.45
1611,134938.03
1612,172611.81
1613,169292.05
1614,128139.67
1615,95078.81
1616,77312.78
1617,94381.76
1618,122552.98
1619,146516.12
1620,178276.78
1621,134310.39
1622,143625.53
1623,276476.2
1624,222508.42
1625,124929.4
1626,165244.67
1627,190080.97
1628,275993.44
1629,193953.25
1630,418317.03
1631,218511.39
1632,244990.25
1633,174400.72
1634,189641.45
1635,175378.73
1636,148606.88
1637,208261.97
1638,209390.42
1639,192167.56
1640,255300.02
1641,176994.2
1642,227510.84
1643,222564.88
1644,230602.03
1645,205353.8
1646,160138.25
1647,159824.4
1648,127473.484
1649,140219.53
1650,125564.53
1651,124777.72
1652,91834.11
